"id","symbol","date","open","close","high","low","volume","amount","amplitude","pct_change","price_change","turnover"
"11854100","000008","2010/1/20","1.26","1.26","1.26","1.26","5379","6277293","0","-5.26","-0.07","1.04"
"11854101","000008","2010/1/21","1.19","1.19","1.19","1.19","1524","1690116","0","-5.56","-0.07","0.29"
"11854102","000008","2010/1/22","1.13","1.17","1.19","1.13","67438","71696952","5.04","-1.68","-0.02","13.04"
"11854103","000008","2010/1/25","1.12","1.11","1.13","1.11","50619","52442476","1.71","-5.13","-0.06","9.79"
"11854104","000008","2010/1/26","1.11","1.05","1.12","1.05","29880","29778506","6.31","-5.41","-0.06","5.78"
"11854105","000008","2010/1/27","1.02","1.03","1.05","1","16594","15961602","4.76","-1.9","-0.02","3.21"
"11854106","000008","2010/1/28","1.03","1.02","1.04","1","18029","17213566","3.88","-0.97","-0.01","3.49"
"11854107","000008","2010/1/29","1.02","1.03","1.07","1.01","21326","20926358","5.88","0.98","0.01","4.12"
"11854108","000008","2010/2/1","1.03","1.06","1.06","1.02","19756","19328562","3.88","2.91","0.03","3.82"
"11854109","000008","2010/2/2","1.06","1.06","1.08","1.05","10108","10020832","2.83","0","0","1.95"
"11854110","000008","2010/2/3","1.07","1.06","1.08","1","17698","17334540","7.55","0","0","3.42"
"11854111","000008","2010/2/4","1.06","1.06","1.08","1.04","19442","19218046","3.77","0","0","3.76"
"11854112","000008","2010/2/5","1.05","1.08","1.09","1.03","17447","17330054","5.66","1.89","0.02","3.37"
"11854113","000008","2010/2/8","1.07","1.08","1.09","1.06","9880","9912316","2.78","0","0","1.91"
"11854114","000008","2010/2/10","1.09","1.09","1.11","1.08","9874","10064656","2.78","0.93","0.01","1.91"
"11854115","000008","2010/2/11","1.1","1.1","1.12","1.09","6541","6742694","2.75","0.92","0.01","1.26"
"11854116","000008","2010/2/12","1.1","1.11","1.11","1.09","8920","9155613","1.82","0.91","0.01","1.72"
"11854117","000008","2010/2/22","1.11","1.1","1.12","1.08","7803","8030770.5","3.6","-0.9","-0.01","1.51"
"11854118","000008","2010/2/23","1.09","1.1","1.1","1.07","6900","7007151.5","2.73","0","0","1.33"
"11854119","000008","2010/2/24","1.1","1.12","1.14","1.09","8445","8785853","4.55","1.82","0.02","1.63"
"11854120","000008","2010/2/25","1.13","1.15","1.16","1.12","9424","10048676","3.57","2.68","0.03","1.82"
"11854121","000008","2010/2/26","1.14","1.2","1.21","1.14","16617","18237574","6.09","4.35","0.05","3.21"
"11854122","000008","2010/3/1","1.19","1.22","1.26","1.19","21319","24416646","5.83","1.67","0.02","4.12"
"11854123","000008","2010/3/2","1.23","1.28","1.28","1.22","25454","29784554","4.92","4.92","0.06","4.92"
"11854124","000008","2010/3/3","1.29","1.29","1.33","1.28","20331","24431040","3.91","0.78","0.01","3.93"
"11854125","000008","2010/3/4","1.28","1.25","1.3","1.22","22795","26449812","6.2","-3.1","-0.04","4.41"
"11854126","000008","2010/3/5","1.24","1.27","1.3","1.23","20018","23433396","5.6","1.6","0.02","3.87"
"11854127","000008","2010/3/8","1.28","1.32","1.34","1.25","19936","23941196","7.09","3.94","0.05","3.85"
"11854128","000008","2010/3/9","1.31","1.34","1.36","1.31","19653","24156436","3.79","1.52","0.02","3.8"
"11854129","000008","2010/3/10","1.33","1.32","1.35","1.28","14966","18116064","5.22","-1.49","-0.02","2.89"
"11854130","000008","2010/3/11","1.33","1.3","1.33","1.27","14187","16938668","4.55","-1.52","-0.02","2.74"
"11854131","000008","2010/3/12","1.31","1.25","1.31","1.24","13036","15326202","5.38","-3.85","-0.05","2.52"
"11854132","000008","2010/3/15","1.24","1.25","1.27","1.21","11183","12779994","4.8","0","0","2.16"
"11854133","000008","2010/3/16","1.25","1.26","1.26","1.23","6926","8015757.5","2.4","0.8","0.01","1.34"
