symbol,signal_date,strategy,timeframe
000037,2025-04-25,MultiLevelCross,weekly
000055,2025-04-25,MultiLevelCross,weekly
000411,2025-04-25,MultiLevelCross,weekly
000539,2025-04-25,MultiLevelCross,weekly
000565,2025-04-25,MultiLevelCross,weekly
000599,2025-04-25,MultiLevelCross,daily
000610,2025-04-25,MultiLevelCross,daily
000685,2025-04-25,MultiLevelCross,weekly
000691,2025-04-25,MultiLevelCross,daily
000698,2025-04-25,MultiLevelCross,weekly
000869,2025-04-25,MultiLevelCross,daily
000875,2025-04-25,MultiLevelCross,weekly
000881,2025-04-25,MultiLevelCross,weekly
000885,2025-04-25,MultiLevelCross,weekly
000957,2025-04-25,MultiLevelCross,weekly
001209,2025-04-25,MultiLevelCross,weekly
001210,2025-04-25,MultiLevelCross,weekly
001358,2025-04-25,MultiLevelCross,weekly
001367,2025-04-25,MultiLevelCross,weekly
002019,2025-04-25,MultiLevelCross,weekly
002054,2025-04-25,MultiLevelCross,weekly
002095,2025-04-25,MultiLevelCross,weekly
002169,2025-04-25,MultiLevelCross,weekly
002194,2025-04-25,MultiLevelCross,weekly
002206,2025-04-25,MultiLevelCross,weekly
002228,2025-04-25,MultiLevelCross,weekly
002303,2025-04-25,MultiLevelCross,weekly
002383,2025-04-25,MultiLevelCross,weekly
002386,2025-04-25,MultiLevelCross,weekly
002391,2025-04-25,MultiLevelCross,weekly
002394,2025-04-25,MultiLevelCross,weekly
002412,2025-04-25,MultiLevelCross,weekly
002437,2025-04-25,MultiLevelCross,weekly
002461,2025-04-25,MultiLevelCross,daily
002485,2025-04-25,MultiLevelCross,daily
002539,2025-04-25,MultiLevelCross,weekly
002545,2025-04-25,MultiLevelCross,weekly
002556,2025-04-25,MultiLevelCross,weekly
002565,2025-04-25,MultiLevelCross,weekly
002634,2025-04-25,MultiLevelCross,weekly
002849,2025-04-25,MultiLevelCross,weekly
002893,2025-04-25,MultiLevelCross,weekly
002907,2025-04-25,MultiLevelCross,weekly
002915,2025-04-25,MultiLevelCross,weekly
002925,2025-04-25,MultiLevelCross,weekly
002958,2025-04-25,MultiLevelCross,weekly
002977,2025-04-25,MultiLevelCross,weekly
002996,2025-04-25,MultiLevelCross,weekly
003035,2025-04-25,MultiLevelCross,daily
003039,2025-04-25,MultiLevelCross,daily
003042,2025-04-25,MultiLevelCross,weekly
300048,2025-04-25,MultiLevelCross,weekly
300119,2025-04-25,MultiLevelCross,weekly
300267,2025-04-25,MultiLevelCross,weekly
300386,2025-04-25,MultiLevelCross,weekly
300528,2025-04-25,MultiLevelCross,weekly
300591,2025-04-25,MultiLevelCross,weekly
300644,2025-04-25,MultiLevelCross,weekly
300648,2025-04-25,MultiLevelCross,weekly
300666,2025-04-25,MultiLevelCross,weekly
300682,2025-04-25,MultiLevelCross,weekly
300720,2025-04-25,MultiLevelCross,weekly
300824,2025-04-25,MultiLevelCross,weekly
300879,2025-04-25,MultiLevelCross,weekly
300886,2025-04-25,MultiLevelCross,weekly
301063,2025-04-25,MultiLevelCross,daily
301076,2025-04-25,MultiLevelCross,weekly
301103,2025-04-25,MultiLevelCross,weekly
301235,2025-04-25,MultiLevelCross,weekly
301258,2025-04-25,MultiLevelCross,weekly
301283,2025-04-25,MultiLevelCross,weekly
301317,2025-04-25,MultiLevelCross,weekly
301353,2025-04-25,MultiLevelCross,weekly
301395,2025-04-25,MultiLevelCross,weekly
301603,2025-04-25,MultiLevelCross,weekly
600051,2025-04-25,MultiLevelCross,weekly
600064,2025-04-25,MultiLevelCross,weekly
600166,2025-04-25,MultiLevelCross,weekly
600167,2025-04-25,MultiLevelCross,weekly
600262,2025-04-25,MultiLevelCross,weekly
600278,2025-04-25,MultiLevelCross,weekly
600280,2025-04-25,MultiLevelCross,daily
600308,2025-04-25,MultiLevelCross,weekly
600365,2025-04-25,MultiLevelCross,weekly
600370,2025-04-25,MultiLevelCross,weekly
600501,2025-04-25,MultiLevelCross,weekly
600507,2025-04-25,MultiLevelCross,weekly
600509,2025-04-25,MultiLevelCross,weekly
600526,2025-04-25,MultiLevelCross,weekly
600573,2025-04-25,MultiLevelCross,daily
600639,2025-04-25,MultiLevelCross,weekly
600681,2025-04-25,MultiLevelCross,weekly
600726,2025-04-25,MultiLevelCross,weekly
600771,2025-04-25,MultiLevelCross,weekly
600790,2025-04-25,MultiLevelCross,weekly
600822,2025-04-25,MultiLevelCross,weekly
600908,2025-04-25,MultiLevelCross,daily
600983,2025-04-25,MultiLevelCross,weekly
601218,2025-04-25,MultiLevelCross,weekly
601311,2025-04-25,MultiLevelCross,weekly
601566,2025-04-25,MultiLevelCross,weekly
603029,2025-04-25,MultiLevelCross,weekly
603080,2025-04-25,MultiLevelCross,weekly
603087,2025-04-25,MultiLevelCross,weekly
603161,2025-04-25,MultiLevelCross,weekly
603213,2025-04-25,MultiLevelCross,weekly
603218,2025-04-25,MultiLevelCross,weekly
603230,2025-04-25,MultiLevelCross,weekly
603231,2025-04-25,MultiLevelCross,weekly
603256,2025-04-25,MultiLevelCross,weekly
603273,2025-04-25,MultiLevelCross,weekly
603365,2025-04-25,MultiLevelCross,weekly
603444,2025-04-25,MultiLevelCross,weekly
603557,2025-04-25,MultiLevelCross,daily
603676,2025-04-25,MultiLevelCross,weekly
603699,2025-04-25,MultiLevelCross,weekly
603817,2025-04-25,MultiLevelCross,weekly
603829,2025-04-25,MultiLevelCross,weekly
603897,2025-04-25,MultiLevelCross,weekly
603969,2025-04-25,MultiLevelCross,weekly
605011,2025-04-25,MultiLevelCross,daily
605016,2025-04-25,MultiLevelCross,weekly
605028,2025-04-25,MultiLevelCross,weekly
605056,2025-04-25,MultiLevelCross,weekly
605189,2025-04-25,MultiLevelCross,weekly
605259,2025-04-25,MultiLevelCross,weekly
605358,2025-04-25,MultiLevelCross,weekly
688150,2025-04-25,MultiLevelCross,weekly
688198,2025-04-25,MultiLevelCross,weekly
688233,2025-04-25,MultiLevelCross,weekly
688291,2025-04-25,MultiLevelCross,weekly
688313,2025-04-25,MultiLevelCross,weekly
688351,2025-04-25,MultiLevelCross,weekly
688566,2025-04-25,MultiLevelCross,weekly
688580,2025-04-25,MultiLevelCross,daily
688619,2025-04-25,MultiLevelCross,weekly
688648,2025-04-25,MultiLevelCross,weekly
688660,2025-04-25,MultiLevelCross,weekly
688697,2025-04-25,MultiLevelCross,weekly
