股票代码,股票简称,信号日期,信号来源,信号级别,net_profit_positive_3y_latest,pe,pe_lt_30,revenue_growth_yoy,profit_growth_yoy,growth_positive,peg_like_ratio,peg_like_lt_1,error_reason
000617,中油资本,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000635,英 力 特,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000850,华茂股份,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000965,天保基建,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000966,长源电力,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000993,闽东电力,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
001222,源飞宠物,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
001228,永泰运,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002069,獐子岛,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002255,海陆重工,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
