symbol,stock_name,signal_date,strategy_name,signal_level,market_cap_formatted,pe,pb,revenue_growth_yoy,profit_growth_yoy,peg_like_ratio,net_profit_positive_3y_latest,growth_positive,pe_lt_30,peg_like_lt_1,tech_notes,error_reason
000420,吉林化纤,2025-06-04,AdaptedMAPullbackStrategy,Daily,104.50亿,377.09,2.38,0.32,-0.61,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).; PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).
000520,凤凰航运,2025-06-04,AdaptedMAPullbackStrategy,Daily,49.09亿,,10.76,-0.23,0.67,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-82701900.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-82701900.0).
000559,万向钱潮,2025-06-04,AdaptedMAPullbackStrategy,Daily,259.02亿,27.24,2.74,0.27,0.05,5.43,是,是,是,否,,
000565,渝三峡Ａ,2025-06-04,AdaptedMAPullbackStrategy,Daily,45.87亿,1050.49,3.68,0.07,-0.53,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.5316221930787143).; PEG近似值计算失败：利润增长率无效或非正 (-0.5316221930787143).
000576,甘化科工,2025-06-04,AdaptedMAPullbackStrategy,Daily,39.23亿,191.25,2.42,0.24,-0.47,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).; PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).
000637,茂化实华,2025-06-04,AdaptedMAPullbackStrategy,Daily,20.12亿,,3.28,-0.34,0.20,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).
000688,国城矿业,2025-06-04,ChanBreakoutStrategyV8,Daily,145.74亿,,4.03,0.77,182.91,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-112999999.99999999).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-112999999.99999999).
000722,湖南发展,2025-06-04,AdaptedMAPullbackStrategy,Daily,61.87亿,91.25,1.99,-0.34,-0.84,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).; PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).
000725,京东方Ａ,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,1462.97亿,27.48,1.10,0.10,0.64,0.43,是,是,是,是,,
000812,陕西金叶,2025-06-04,ChanBreakoutStrategyV8,Daily,36.59亿,87.09,2.01,0.10,-0.39,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.3853930952235337).; PEG近似值计算失败：利润增长率无效或非正 (-0.3853930952235337).
000819,岳阳兴长,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,55.79亿,88.38,2.57,0.28,-0.37,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.36998078659228223).; PEG近似值计算失败：利润增长率无效或非正 (-0.36998078659228223).
000859,国风新材,2025-06-04,AdaptedMAPullbackStrategy,Daily,67.29亿,,2.43,-0.01,0.02,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-69722500.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-69722500.0).
000960,锡业股份,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,232.55亿,16.10,1.11,0.16,0.53,0.30,是,是,是,是,,
000989,九芝堂,2025-06-04,ChanBreakoutStrategyV8,Daily,88.08亿,40.78,2.28,-0.25,-0.19,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.19310344827586207).; PEG近似值计算失败：利润增长率无效或非正 (-0.19310344827586207).
001236,弘业期货,2025-06-04,ChanBreakoutStrategyV8,Daily,102.09亿,342.28,5.43,2.59,1.09,3.14,是,是,否,否,,
001255,博菲电气,2025-06-04,AdaptedMAPullbackStrategy,Daily,24.24亿,183.11,3.33,0.31,4.55,0.40,是,是,否,是,,
001328,登康口腔,2025-06-04,AdaptedMAPullbackStrategy,Daily,89.82亿,55.79,6.00,0.19,0.16,3.57,是,是,否,否,,
002136,安 纳 达,2025-06-04,AdaptedMAPullbackStrategy,Daily,23.80亿,211.46,2.04,0.01,-1.55,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-1.554041647765321).; PEG近似值计算失败：利润增长率无效或非正 (-1.554041647765321).
002137,实益达,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,45.57亿,,3.05,-0.10,0.19,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-23407500.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-23407500.0).
